ID,이름,음식ID,등급,가격,레시피설명
RE_01,레시피 : 식빵,DS_01,기본,0,빵x1
RE_02,레시피 : 삶은계란,DS_02,기본,0,계란x1
RE_03,레시피 : 흰쌀밥,DS_03,기본,0,밥x1
RE_04,레시피 : 계란프라이,DS_04,초급,500,계란x1 + 버터x1
RE_05,레시피 : 감자튀김,DS_05,초급,500,감자x2 + 버터x1
RE_06,레시피 : 계란토스트,DS_06,초급,500,빵x2 + 계란x1 + 버터x1
RE_07,레시피 : 치즈토스트,DS_07,초급,500,빵x2 + 치즈x1 + 버터x1
RE_08,레시피 : 계란볶음밥,DS_08,중급,2500,밥x1 + 계란x2
RE_09,레시피 : 감자샐러드,DS_09,중급,2500,감자x2 + 계란x1
RE_10,레시피 : 카레라이스,DS_10,중급,2500,밥x1 + 카레x1
RE_11,레시피 : 샌드위치,DS_11,중급,2500,빵x2 + 양상추x1 + 토마토x1
RE_12,레시피 : 제육덮밥,DS_12,중급,2500,밥x1 + 베이컨x2 + 버터x1
RE_13,레시피 : 핫도그,DS_13,중급,2500,빵x1 + 소시지x2
RE_14,레시피 : 햄치즈토스트,DS_14,중급,2500,빵x2 + 치즈x1 + 베이컨x2
RE_15,레시피 : 토마토파스타,DS_15,고급,7000,면x2 + 토마토x2 + 버터x1
RE_16,레시피 : 크림파스타,DS_16,고급,7000,면x2 + 치즈x2 + 버터x1
RE_17,레시피 : 베이컨파스타,DS_17,고급,7000,면x2 + 베이컨x2 + 버터x1
RE_18,레시피 : 불고기덮밥,DS_18,고급,7000,밥x1 + 패티x2 + 버터x1
RE_19,레시피 : 햄버거,DS_19,고급,7000,빵x2 + 패티x2 + 양상추x1
RE_20,레시피 : 치즈버거,DS_20,고급,7000,빵x2 + 패티x2 + 치즈x2
RE_21,레시피 : 셰프 스페셜 정식,DS_21,셰프,0,불고기덮밥x1 + 계란프라이x2
RE_22,레시피 : 셰프 브런치 세트,DS_22,셰프,0,햄치즈토스트x1 + 감자샐러드x1 + 계란프라이x2
RE_23,레시피 : 셰프 시그니처 버거,DS_23,셰프,0,햄버거x1 + 치즈토스트x1 + 감자튀김x1
RE_24,레시피 : 셰프 디럭스 파스타,DS_24,셰프,0,크림파스타x1 + 베이컨파스타x1 + 토마토파스타x1
RE_25,레시피 : 셰프 스페셜 플래터,DS_25,셰프,0,셰프 시그니처 버거x1 + 셰프 스페셜 정식x1 + 셰프 디럭스 파스타x1
